Id,Neighborhood,Total_sqr_footage,OverallQual,OverallCond,YearBuilt,GrLivArea,GarageCars,LotFrontage,PoolArea,SalePrice,Street,BldgType,FullBath,HalfBath,BsmtFullBath
1,CollgCr,2566,7,5,2003,1710,2,65,0,208500,Pave,1Fam,2,1,1
2,Veenker,2524,6,8,1976,1262,2,80,0,181500,Pave,1Fam,2,0,0
3,CollgCr,2706,7,5,2001,1786,2,68,0,223500,Pave,1Fam,2,1,1
4,Crawfor,2473,7,5,1915,1717,3,60,0,140000,Pave,1Fam,1,0,1
5,NoRidge,3343,8,5,2000,2198,3,84,0,250000,Pave,1Fam,2,1,1
6,Mitchel,2158,5,5,1993,1362,2,85,0,143000,Pave,1Fam,1,1,1
7,Somerst,3380,8,5,2004,1694,2,75,0,307000,Pave,1Fam,2,0,1
8,NWAmes,3197,7,6,1973,2090,2,,0,200000,Pave,1Fam,2,1,1
9,OldTown,2726,7,5,1931,1774,2,51,0,129900,Pave,1Fam,2,0,0
10,BrkSide,2068,5,6,1939,1077,1,50,0,118000,Pave,2fmCon,1,0,1
11,Sawyer,2080,5,5,1965,1040,1,70,0,129500,Pave,1Fam,1,0,1
12,NridgHt,3499,9,5,2005,2324,3,85,0,345000,Pave,1Fam,3,0,1
13,Sawyer,1824,5,6,1962,912,1,,0,144000,Pave,1Fam,1,0,1
14,CollgCr,2988,7,5,2006,1494,3,91,0,279500,Pave,1Fam,2,0,0
15,NAmes,2506,6,5,1960,1253,1,,0,157000,Pave,1Fam,1,1,1
16,BrkSide,1686,7,8,1929,854,2,51,0,132000,Pave,1Fam,1,0,0
17,NAmes,2008,6,7,1970,1004,2,,0,149000,Pave,1Fam,1,0,1
18,Sawyer,1296,4,5,1967,1296,2,72,0,90000,Pave,Duplex,2,0,0
19,SawyerW,2228,5,5,2004,1114,2,66,0,159000,Pave,1Fam,1,1,1
20,NAmes,2368,5,6,1958,1339,1,70,0,139000,Pave,1Fam,1,0,0
21,NridgHt,3534,8,5,2005,2376,3,101,0,325300,Pave,1Fam,3,1,0
22,IDOTRR,1745,7,7,1930,1108,1,57,0,139400,Pave,1Fam,1,0,0
23,CollgCr,3572,8,5,2002,1795,2,75,0,230000,Pave,1Fam,2,0,0
24,MeadowV,2100,5,7,1976,1060,2,44,0,129900,Pave,TwnhsE,1,0,1
25,Sawyer,2120,5,8,1968,1060,1,,0,154000,Pave,1Fam,1,0,1
26,NridgHt,3166,8,5,2007,1600,3,110,0,256300,Pave,1Fam,2,0,0
27,NAmes,1800,5,7,1951,900,2,60,0,134800,Pave,1Fam,1,0,0
28,NridgHt,3408,8,5,2007,1704,3,98,0,306000,Pave,1Fam,2,0,1
29,NAmes,3084,5,6,1957,1600,1,47,0,207500,Pave,1Fam,1,0,1
30,BrkSide,1040,4,6,1927,520,1,60,0,68500,Pave,1Fam,1,0,0
31,IDOTRR,1966,4,4,1920,1317,1,50,0,40000,Pave,1Fam,1,0,0
32,Sawyer,2456,5,6,1966,1228,1,,0,149350,Pave,1Fam,1,1,0
33,CollgCr,2468,8,5,2007,1234,2,85,0,179900,Pave,1Fam,2,0,0
34,NAmes,3098,5,5,1959,1700,2,70,0,165500,Pave,1Fam,1,1,0
35,NridgHt,3122,9,5,2005,1561,2,60,0,277500,Pave,TwnhsE,2,0,1
36,NridgHt,3569,8,5,2004,2452,3,108,0,309000,Pave,1Fam,3,1,0
37,CollgCr,2194,5,5,1994,1097,2,112,0,145000,Pave,1Fam,1,1,0
38,NAmes,2594,5,6,1954,1297,2,74,0,153000,Pave,1Fam,1,0,0
39,NAmes,2114,5,7,1953,1057,1,68,0,109000,Pave,1Fam,1,0,1
40,Edwards,1152,4,5,1955,1152,0,65,0,82000,Pave,Duplex,2,0,0
41,NAmes,2412,6,5,1965,1324,2,84,0,160000,Pave,1Fam,2,0,0
42,Timber,2678,5,6,1959,1328,1,115,0,170000,Pave,1Fam,1,1,0
43,SawyerW,1724,5,7,1983,884,2,,0,144000,Pave,1Fam,1,0,1
44,CollgCr,1876,5,6,1975,938,1,,0,130250,Pave,1Fam,1,0,1
45,NAmes,2300,5,6,1959,1150,1,70,0,141000,Pave,1Fam,1,0,1
46,NridgHt,3504,9,5,2005,1752,2,61,0,319900,Pave,TwnhsE,2,0,1
47,Mitchel,3583,7,5,2003,2149,2,48,0,239686,Pave,1Fam,1,1,1
48,Somerst,3312,8,5,2006,1656,3,84,0,249700,Pave,1Fam,2,0,0
49,OldTown,2188,4,5,1920,1452,0,33,0,113000,Pave,2fmCon,2,0,0
50,Sawyer,1910,5,7,1966,955,1,66,0,127000,Pave,1Fam,1,0,1
51,Gilbert,2264,6,6,1997,1470,2,,0,177000,Pave,1Fam,2,0,0
52,BrkSide,1632,6,6,1934,1176,2,52,0,114500,Pave,1Fam,1,0,0
53,IDOTRR,1632,5,5,1963,816,2,110,0,110000,Grvl,Duplex,1,0,1
54,Veenker,3684,9,5,1981,1842,3,68,0,385000,Pave,1Fam,0,1,2
55,NAmes,1744,5,5,1955,1360,2,60,0,130000,Pave,1Fam,1,0,0
56,NAmes,2850,6,5,1964,1425,2,100,0,180500,Pave,1Fam,2,0,0
57,Somerst,2709,8,5,1999,1739,2,24,0,172500,Pave,Twnhs,2,1,1
58,CollgCr,2580,7,5,2004,1720,2,89,0,196500,Pave,1Fam,2,1,0
59,StoneBr,4355,10,5,2006,2945,3,66,0,438780,Pave,1Fam,3,1,0
60,CollgCr,1560,5,7,1972,780,1,60,0,124900,Pave,1Fam,1,0,0
61,SawyerW,2316,6,5,2004,1158,2,63,0,158000,Pave,1Fam,1,1,1
62,IDOTRR,1641,5,7,1920,1111,1,60,0,101000,Pave,1Fam,1,0,0
63,NridgHt,2740,8,5,2006,1370,2,44,0,202500,Pave,TwnhsE,2,0,0
64,OldTown,2286,7,6,1921,1710,2,50,0,140000,Pave,1Fam,2,0,0
65,CollgCr,3091,7,5,1997,2034,2,,0,219500,Pave,1Fam,2,1,1
66,NridgHt,3616,8,5,2004,2473,3,76,0,317000,Pave,1Fam,2,1,0
67,NAmes,4154,7,5,1970,2207,2,,0,180000,Pave,1Fam,2,0,1
68,CollgCr,2932,7,5,2003,1479,2,72,0,226000,Pave,1Fam,2,0,1
69,OldTown,1494,4,6,1945,747,1,47,0,80000,Pave,1Fam,1,0,0
70,ClearCr,3591,7,4,1953,2287,2,81,0,225000,Pave,1Fam,2,0,0
71,NAmes,4446,7,6,1973,2223,2,95,0,244000,Pave,1Fam,2,0,1
72,Mitchel,1690,4,6,1982,845,2,69,0,129500,Pave,1Fam,1,0,1
73,Gilbert,2550,7,5,1998,1718,2,74,0,185000,Pave,1Fam,2,1,0
74,NAmes,2172,5,7,1954,1086,2,85,0,144900,Pave,1Fam,1,0,1
75,OldTown,2445,3,6,1915,1605,1,60,0,107400,Pave,1Fam,2,0,0
76,MeadowV,1450,4,5,1973,988,1,21,0,91000,Pave,Twnhs,1,0,1
77,NAmes,1904,4,7,1956,952,1,,0,135750,Pave,1Fam,1,0,0
78,BrkSide,1957,5,5,1948,1285,1,50,0,127000,Pave,1Fam,1,0,1
79,Sawyer,3536,4,5,1968,1768,0,72,0,136500,Pave,Duplex,2,0,0
80,OldTown,1670,5,6,1910,1230,2,60,0,110000,Pave,1Fam,1,1,0
81,NAmes,3038,6,6,1968,2142,1,100,0,193500,Pave,1Fam,2,1,0
82,Mitchel,2574,6,5,1998,1337,2,32,0,153500,Pave,TwnhsE,2,0,1
83,Somerst,3126,8,5,2007,1563,3,78,0,245000,Pave,1Fam,2,0,0
84,NAmes,2130,5,5,1960,1065,2,80,0,126500,Pave,1Fam,1,1,0
85,Gilbert,1858,7,5,1995,1474,2,,0,168500,Pave,1Fam,2,1,0
86,NoRidge,3705,8,5,1991,2417,2,121,0,260000,Pave,1Fam,2,1,0
87,Gilbert,2244,6,5,2005,1560,2,122,0,174000,Pave,1Fam,2,1,0
88,Somerst,1836,6,5,2009,1224,2,40,0,164500,Pave,TwnhsE,2,1,0
89,IDOTRR,2026,3,2,1915,1526,0,105,0,85000,Pave,1Fam,1,0,0
90,CollgCr,1980,4,5,1994,990,0,60,0,123600,Pave,1Fam,1,0,1
91,NAmes,1040,4,5,1950,1040,2,60,0,109900,Pave,1Fam,1,0,0
92,NAmes,2470,5,3,1961,1235,2,85,0,98600,Pave,1Fam,1,0,0
93,Crawfor,1840,5,7,1921,964,2,80,0,163500,Pave,1Fam,1,0,1
94,OldTown,3505,6,6,1910,2291,2,60,0,133900,Pave,2fmCon,2,0,0
95,CollgCr,2610,6,5,1997,1786,2,69,0,204750,Pave,1Fam,2,1,1
96,Gilbert,2150,6,8,1993,1470,2,,0,185000,Pave,1Fam,2,1,0
97,CollgCr,3176,7,5,1999,1588,2,78,0,214000,Pave,1Fam,2,0,0
98,Edwards,1920,4,5,1965,960,1,73,0,94750,Pave,1Fam,1,0,1
99,Edwards,1293,5,5,1920,835,1,85,0,83000,Pave,1Fam,1,0,0
100,NAmes,2175,4,5,1959,1225,0,77,0,128950,Pave,1Fam,1,1,1
101,NWAmes,3220,6,7,1977,1610,2,,0,205000,Pave,1Fam,2,0,1
102,SawyerW,2473,6,5,1985,1732,2,77,0,178000,Pave,1Fam,2,1,0
103,SawyerW,1535,5,5,1979,1535,2,64,0,118964,Pave,Duplex,2,0,0
104,CollgCr,2452,7,5,2009,1226,3,94,0,198900,Pave,1Fam,2,0,0
105,IDOTRR,2858,7,4,1931,1818,1,,0,169500,Pave,1Fam,1,1,0
106,Somerst,3045,8,5,2003,1992,2,75,0,250000,Pave,1Fam,2,1,0
107,OldTown,1688,4,7,1885,1047,1,60,0,100000,Pave,1Fam,1,0,0
